index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00502597,2327,0.0371796
1,10,1,0.0100519,2327,0.0371796
2,10,2,0.0150779,2326,0.0455129
3,10,3,0.0201039,2327,0.0371796
4,13,0,0.0251299,2327,0.0371796
5,13,1,0.0301558,2326,0.0455129
6,14,0,0.0351818,2327,0.0371796
7,14,1,0.0402078,2327,0.0371796
8,15,0,0.0452338,2327,0.0371796
9,15,1,0.0502597,2327,0.0371796
10,16,0,0.0552857,2327,0.0371796
11,16,1,0.0603117,2328,0.0288462
12,17,0,0.0653377,2327,0.0371796
13,17,1,0.0703636,2327,0.0371796
14,18,0,0.0753896,2327,0.0371796
15,18,1,0.0804156,2327,0.0371796
16,19,0,0.0854416,2327,0.0371796
17,19,1,0.0904675,2327,0.0371796
18,20,0,0.0954935,2328,0.0288462
19,20,1,0.100519,2327,0.0371796
20,21,0,0.105545,2327,0.0371796
21,21,1,0.110571,2327,0.0371796
22,22,0,0.115597,2326,0.0455129
23,22,1,0.120623,2326,0.0455129
24,23,0,0.125649,2326,0.0455129
25,23,1,0.130675,2326,0.0455129
26,24,0,0.135701,2326,0.0455129
27,24,1,0.140727,2326,0.0455129
28,25,0,0.145753,2325,0.0538462
29,25,1,0.150779,2325,0.0538462
30,26,0,0.155805,2325,0.0538462
31,26,1,0.160831,2326,0.0455129
32,26,2,0.165857,2325,0.0538462
33,27,0,0.170883,2325,0.0538462
34,28,0,0.175909,2325,0.0538462
35,28,1,0.180935,2325,0.0538462
36,29,0,0.185961,2325,0.0538462
37,29,1,0.190987,2326,0.0455129
38,30,0,0.196013,2325,0.0538462
39,30,1,0.201039,2326,0.0455129
40,31,0,0.206065,2326,0.0455129
41,31,1,0.211091,2325,0.0538462
42,32,0,0.216117,2325,0.0538462
43,32,1,0.221143,2326,0.0455129
44,33,0,0.226169,2325,0.0538462
45,33,1,0.231195,2324,0.0621796
46,34,0,0.236221,2324,0.0621796
47,34,1,0.241247,2324,0.0621796
48,35,0,0.246273,2324,0.0621796
49,35,1,0.251299,2323,0.0705129
50,36,0,0.256325,2323,0.0705129
51,36,1,0.261351,2323,0.0705129
52,37,0,0.266377,2321,0.0871796
53,37,1,0.271403,2321,0.0871796
54,38,0,0.276429,2321,0.0871796
55,38,1,0.281455,2321,0.0871796
56,39,0,0.286481,2320,0.0955129
57,39,1,0.291506,2320,0.0955129
58,40,0,0.296532,2320,0.0955129
59,40,1,0.301558,2320,0.0955129
60,41,0,0.306584,2320,0.0955129
61,41,1,0.31161,2320,0.0955129
62,42,0,0.316636,2317,0.120513
63,42,1,0.321662,2317,0.120513
64,43,0,0.326688,2317,0.120513
65,43,1,0.331714,2316,0.128846
66,44,0,0.33674,2316,0.128846
67,44,1,0.341766,2318,0.11218
68,45,0,0.346792,2319,0.103846
69,45,1,0.351818,2319,0.103846
70,46,0,0.356844,2319,0.103846
71,46,1,0.36187,2319,0.103846
72,47,0,0.366896,2317,0.120513
73,47,1,0.371922,2317,0.120513
74,48,0,0.376948,2316,0.128846
75,48,1,0.381974,2316,0.128846
76,49,0,0.387,2314,0.145513
77,49,1,0.392026,2314,0.145513
78,49,2,0.397052,2314,0.145513
79,50,0,0.402078,2313,0.153846
80,51,0,0.407104,2313,0.153846
