index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,19,0,0.00983651,0,0,0,0,0,0
1,19,1,0.019673,0,0,0,0,0,0.172253
2,19,2,0.0295095,0,0,0,0,0,0.450989
3,19,3,0.039346,0,0,0,0,0,0.845605
4,20,0,0.0491826,0,0,0,0,0,1.42813
5,20,1,0.0590191,0,0,0,0,0,2.04824
6,20,2,0.0688556,0,0.0002,0,0.0203324,0,2.62451
7,20,3,0.0786921,0,0.0008,0,0.0609972,0,3.15693
8,21,0,0.0885286,1,0.0018,1,0.101662,1,3.57033
9,22,0,0.0983651,3,0.0034,2,0.162659,1,3.79583
10,23,0,0.108202,5,0.0054,2,0.203324,0,4.00253
11,24,0,0.118038,8,0.0078,3,0.243989,1,3.94616
12,25,0,0.127875,10,0.0106,2,0.284654,-1,3.72066
13,26,0,0.137711,13,0.0136,3,0.304986,1,3.62671
14,27,0,0.147548,17,0.0168,4,0.325319,1,3.45759
15,28,0,0.157384,20,0.0206,3,0.386316,-1,3.43879
16,29,0,0.167221,24,0.0246,4,0.406648,1,3.47638
17,30,0,0.177057,29,0.0288,5,0.426981,1,3.57033
18,31,0,0.186894,33,0.0336,4,0.487978,-1,3.72066
19,32,0,0.19673,38,0.0386,5,0.50831,1,3.90857
20,33,0,0.206567,44,0.044,6,0.548975,1,3.90857
21,34,0,0.216403,49,0.0498,5,0.58964,-1,4.04011
22,35,0,0.22624,56,0.056,7,0.630305,2,4.09649
23,36,0,0.236076,62,0.0626,6,0.67097,-1,3.96495
24,37,0,0.245913,69,0.0698,7,0.731967,1,3.96495
25,38,0,0.255749,77,0.0772,8,0.752299,1,3.88978
26,39,0,0.265586,85,0.085,8,0.792964,0,3.92737
27,40,0,0.275422,93,0.0932,8,0.833629,0,3.96495
28,41,0,0.285259,101,0.1016,8,0.853961,0,3.90857
29,42,0,0.295095,110,0.1104,9,0.894626,1,3.77704
30,43,0,0.304932,119,0.1196,9,0.935291,0,3.70187
31,44,0,0.314768,129,0.1294,10,0.996288,1,3.40121
32,45,0,0.324605,139,0.1396,10,1.03695,0,2.91264
33,46,0,0.334441,150,0.15,11,1.05729,1,2.48044
34,47,0,0.344278,161,0.1606,11,1.07762,0,1.9167
35,48,0,0.354114,171,0.1714,10,1.09795,-1,1.35297
36,49,0,0.363951,182,0.1822,11,1.09795,1,0.732858
37,50,0,0.373787,193,0.1928,11,1.07762,0,0.413407
38,51,0,0.383624,204,0.2036,11,1.09795,0,0.131539
39,52,0,0.39346,214,0.2144,10,1.09795,-1,-0.169121
40,53,0,0.403297,225,0.2252,11,1.09795,1,-0.357033
41,54,0,0.413134,236,0.2358,11,1.07762,0,-0.507363
42,55,0,0.42297,247,0.2466,11,1.09795,0,-0.695275
43,56,0,0.432807,257,0.2572,10,1.07762,-1,-0.92077
44,57,0,0.442643,268,0.2676,11,1.05729,1,-1.0711
45,58,0,0.45248,278,0.278,10,1.05729,-1,-1.31539
46,59,0,0.462316,288,0.2882,10,1.03695,0,-1.52209
47,60,0,0.472153,299,0.2982,11,1.01662,1,-1.87912
48,61,0,0.481989,308,0.3082,9,1.01662,-2,-2.04824
49,62,0,0.491826,318,0.318,10,0.996288,1,-2.21736
50,63,0,0.501662,328,0.3274,10,0.955623,0,-2.38649
51,64,0,0.511499,337,0.3366,9,0.935291,-1,-2.3489
52,65,0,0.521335,346,0.3454,9,0.894626,0,-2.21736
53,66,0,0.531172,354,0.354,8,0.874294,-1,-2.10462
54,67,0,0.541008,362,0.3624,8,0.853961,0,-1.89791
55,68,0,0.550845,371,0.3706,9,0.833629,1,-1.69121
56,69,0,0.560681,379,0.3788,8,0.833629,-1,-1.59725
57,70,0,0.570518,387,0.387,8,0.833629,0,-1.52209
58,71,0,0.580354,395,0.395,8,0.813296,0,-1.57846
59,72,0,0.590191,403,0.4028,8,0.792964,0,-1.57846
60,73,0,0.600027,411,0.4104,8,0.772632,0,-1.63484
61,74,0,0.609864,418,0.4178,7,0.752299,-1,-1.74758
62,75,0,0.6197,425,0.425,7,0.731967,0,-1.80396
63,76,0,0.629537,432,0.432,7,0.711634,0,-1.78517
64,77,0,0.639373,439,0.439,7,0.711634,0,-1.87912
65,78,0,0.64921,446,0.4458,7,0.691302,0,-1.87912
66,79,0,0.659046,453,0.4524,7,0.670969,0,-1.89791
67,80,0,0.668883,459,0.4588,6,0.650637,-1,-1.9355
68,81,0,0.678719,465,0.465,6,0.630305,0,-1.99187
69,82,0,0.688556,471,0.4708,6,0.58964,0,-1.97308
70,83,0,0.698392,477,0.4766,6,0.58964,0,-1.97308
71,84,0,0.708229,482,0.4822,5,0.569307,-1,-1.87912
