experiment,time_aligned,force_time,force_raw_0,force_cal_0,wheel_time,wheel_cal_0,wheel_cal_1,wheel_cal_2,wheel_raw_0,wheel_raw_1,wheel_raw_2,force_index,force_frame,force_sample,wheel_index,wheel_frame,wheel_sample,force_source_file,wheel_source_file
2,-0.334425930,0.00497925,2333,-0.0128204,0.00983607,0,0,0.344537,0,0,0,0,15,0,0,15,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.324589900,0.00497925,2333,-0.0128204,0.0196721,0.00025,0.0254167,0.689074,0,0,0,0,15,0,1,15,1,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.314753800,0.00497925,2333,-0.0128204,0.0295082,0.0004,0.0203333,0.977232,0,0,0,0,15,0,2,15,2,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.304917700,0.00497925,2333,-0.0128204,0.0393443,0.0006,0.0203333,1.46316,1,1,1,0,15,0,3,15,3,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.295081700,0.00497925,2333,-0.0128204,0.0491803,0.0008,0.0203333,2.02695,1,0,-1,0,15,0,4,16,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.285245600,0.00497925,2333,-0.0128204,0.0590164,0.0012,0.0406667,2.61222,1,0,0,0,15,0,5,16,1,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.275409500,0.00497925,2333,-0.0128204,0.0688525,0.0018,0.061,3.0006,1,0,0,0,15,0,6,16,2,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.265573500,0.00497925,2333,-0.0128204,0.0786885,0.0028,0.101667,3.4579,2,1,1,0,15,0,7,16,3,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.255737400,0.00497925,2333,-0.0128204,0.0885246,0.0044,0.162667,3.77738,4,2,1,0,15,0,8,17,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.245901300,0.00497925,2333,-0.0128204,0.0983607,0.0064,0.203333,4.07807,6,2,0,0,15,0,9,18,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.236065000,0.00497925,2333,-0.0128204,0.108197,0.009,0.264333,4.02169,9,3,1,0,15,0,10,19,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.226229000,0.00497925,2333,-0.0128204,0.118033,0.0118,0.284667,4.00289,11,2,-1,0,15,0,11,20,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.216393000,0.00497925,2333,-0.0128204,0.127869,0.015,0.325333,3.79617,15,4,2,0,15,0,12,21,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.206557000,0.00497925,2333,-0.0128204,0.137705,0.0184,0.345667,3.60824,18,3,-1,0,15,0,13,22,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.196721000,0.00497925,2333,-0.0128204,0.147541,0.0224,0.406667,3.4579,22,4,1,0,15,0,14,23,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.186885000,0.00497925,2333,-0.0128204,0.157377,0.0264,0.406667,3.4579,26,4,0,0,15,0,15,24,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.177049000,0.00497925,2333,-0.0128204,0.167213,0.031,0.467667,3.51428,31,5,1,0,15,0,16,25,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.167213000,0.00497925,2333,-0.0128204,0.177049,0.0358,0.488,3.62704,35,4,-1,0,15,0,17,26,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.157377000,0.00497925,2333,-0.0128204,0.186885,0.041,0.528667,3.77738,41,6,2,0,15,0,18,27,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.147541000,0.00497925,2333,-0.0128204,0.196721,0.0464,0.549,3.85255,46,5,-1,0,15,0,19,28,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.137705000,0.00497925,2333,-0.0128204,0.206557,0.0524,0.61,4.05927,52,6,1,0,15,0,20,29,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.127869000,0.00497925,2333,-0.0128204,0.216393,0.0586,0.630333,4.07807,58,6,0,0,15,0,21,30,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.118032000,0.00497925,2333,-0.0128204,0.22623,0.0654,0.691333,4.20962,65,7,1,0,15,0,22,31,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.108196000,0.00497925,2333,-0.0128204,0.236066,0.0726,0.732,4.2472,72,7,0,0,15,0,23,32,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.098360000,0.00497925,2333,-0.0128204,0.245902,0.0802,0.772667,4.28479,80,8,1,0,15,0,24,33,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.088524000,0.00497925,2333,-0.0128204,0.255738,0.0882,0.813333,4.11565,88,8,0,0,15,0,25,34,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.078688000,0.00497925,2333,-0.0128204,0.265574,0.0966,0.854,4.05927,96,8,0,0,15,0,26,35,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.068852000,0.00497925,2333,-0.0128204,0.27541,0.1054,0.894667,3.721,105,9,1,0,15,0,27,36,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.059016000,0.00497925,2333,-0.0128204,0.285246,0.1146,0.935333,3.34514,114,9,0,0,15,0,28,37,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.049180000,0.00497925,2333,-0.0128204,0.295082,0.1242,0.976,2.87532,124,10,1,0,15,0,29,38,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.039344000,0.00497925,2333,-0.0128204,0.304918,0.134,0.996333,2.34912,134,10,0,0,15,0,30,39,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.029508000,0.00497925,2333,-0.0128204,0.314754,0.1442,1.037,1.71016,144,10,0,0,15,0,31,40,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.019672000,0.00497925,2333,-0.0128204,0.32459,0.1544,1.037,1.10878,154,10,0,0,15,0,32,41,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,-0.009836000,0.00497925,2333,-0.0128204,0.334426,0.1646,1.037,0.488616,165,11,1,0,15,0,33,42,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,0.000000000,0.00497925,2333,-0.0128204,0.344262,0.1748,1.037,0,175,10,-1,0,15,0,34,43,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,0.009836000,0.0149378,2336,-0.0378204,0.354098,0.185,1.037,-0.413444,185,10,0,2,15,2,35,44,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,0.019672000,0.0248963,2333,-0.0128204,0.363934,0.195,1.01667,-0.808096,195,10,0,4,16,0,36,45,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,0.029508000,0.0348548,2336,-0.0378204,0.37377,0.205,1.01667,-1.03361,205,10,0,6,16,2,37,46,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,0.039345000,0.0448133,2332,-0.0044871,0.383607,0.2148,0.996333,-1.16516,215,10,0,8,17,0,38,47,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,0.049181000,0.0547718,2334,-0.0211538,0.393443,0.2246,0.996333,-1.39068,225,10,0,10,18,1,39,48,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,0.059017000,0.0647303,2336,-0.0378204,0.403279,0.2342,0.976,-1.48464,234,9,-1,12,19,1,40,49,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,0.068853000,0.0746888,2339,-0.0628204,0.413115,0.2436,0.955667,-1.54102,244,10,1,14,20,1,41,50,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,0.078689000,0.0846473,2342,-0.0878204,0.422951,0.2528,0.935333,-1.65378,253,9,-1,16,21,1,42,51,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,0.088525000,0.0946058,2342,-0.0878204,0.432787,0.262,0.935333,-1.71016,262,9,0,18,22,1,43,52,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
2,0.098361000,0.104564,2342,-0.0878204,0.442623,0.2708,0.894667,-1.71016,271,9,0,20,23,1,44,53,0,20260922-100152_Force.csv,20260922-101044_Wheel.csv
